Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),X-Band VTR Tracking Receiver  Strength (dB),Cortex HDR-XXL 1 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 1 DMU1 Q Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 Q Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,X-Band VTR Tracking Receiver Status,Cortex HDR-XXL 1 DMU1 Carrier,Cortex HDR-XXL 1 DMU1 Bit Sync,Cortex HDR-XXL 1 DMU1 Bit Sync Q,Cortex HDR-XXL 1 DMU1 Viterbi,Cortex HDR-XXL 1 DMU1 Viterbi Q,Cortex HDR-XXL 1 DMX1 Frame Sync,Cortex HDR-XXL 1 DPU1 Frame Sync,Cortex HDR-XXL 2 DMU1 Carrier,Cortex HDR-XXL 2 DMU1 Bit Sync,Cortex HDR-XXL 2 DMU1 Bit Sync Q,Cortex HDR-XXL 2 DMU1 Viterbi,Cortex HDR-XXL 2 DMU1 Viterbi Q,Cortex HDR-XXL 2 DMX1 Frame Sync,Cortex HDR-XXL 2 DPU1 Frame Sync,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm),X-Band VTR Tracking Receiver Strength (dBm),Cortex HDR-XXL 1 DMU1 IF Level Strength (dBm),Cortex HDR-XXL 2 DMU1 IF Level Strength (dBm)
2024 235 19:05:50, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.4, -0.4, -0.1, -0.0, -0.5, -0.3, -128.0, -25.8, -4.1, -26.5, -128.0, -4.0, -0.3, -8.0, -7.2, -6.0, -5.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.2, -107.4, -107.4, -107.2, -107.0, -135.5, -129.3, -128.0, -70.7, -128.0, -75.0, -128.0, -128.0, -119.3, -76.4, -74.3
2024 235 19:05:51, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.5, -0.1, -0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -14.9, -17.8, -4.2, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -74.9, -70.8, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:52, 355.066, 83.160,355.066, 83.160,0,  0.2, -0.0,  0.1,  0.2,  0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -14.9, -17.8, -4.2, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -107.0, -106.9, -106.8, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -74.9, -70.8, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:53, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.5, -0.4, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -14.9, -17.8, -4.2, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.6, -107.4, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -74.9, -70.8, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:55, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.4, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -3.7, -128.0, -128.0, -4.1, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.4, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:56, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.1, -128.0, -128.0, -4.2, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:57, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.4, -0.3, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -128.0, -128.0, -4.3, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.4, -107.4, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:58, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -128.0, -128.0, -4.1, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:05:59, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.4, -0.1,  0.0, -0.5, -0.3, -15.9, -128.0, -4.2, -26.6, -128.0, -4.1, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.4, -107.1, -107.0, -135.5, -129.3, -74.9, -128.0, -128.0, -74.9, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:06:00, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.4, -0.1, -0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -15.4, -128.0, -4.1, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.4, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -75.0, -128.0, -128.0, -119.3, -76.5, -74.3
