Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm)
2024 235 23:09:41, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -4.9,  0.2,  0.0,  0.1,  0.0,  0.0,  0.0, -39.0,  0.0,  0.0, -39.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.7, -106.7, -111.9, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:42, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -4.8,  0.2,  0.0,  0.1,  0.0,  0.0,  0.0, -39.0,  0.0,  0.0, -39.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -111.8, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:43, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.0,  0.2,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:44, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.4,  0.3,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.4, -106.7, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:45, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.7, -106.7, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:46, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:47, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.7, -106.7, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:48, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:49, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.3, -5.0,  0.6, -0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.0, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:50, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
